Project	Issue	Commit	TypeChecker	Detectable	Comment	AnnotationTime
es-analysis/plato	6	8c2b68ebc170938d4115148f71846ed6247409ed	Flow	Detectable	Adding the minimal annotations to type report.complexity.maintainability caused Flow to error on the null dereference.	63
es-analysis/plato	6	8c2b68ebc170938d4115148f71846ed6247409ed	TypeScript	Undetectable	Null/Undefined Dereference:  TypeScript does not error on dereferences of nullable variables.	318
hillar/pigsty-moloch-plugin	3	4a67b3125ea53faa135a09eadd6f16bec310ad4c	TypeScript	Undetectable	EIS, here in the form of a parsing error.	77
istvan-ujjmeszaros/bootstrap-touchspin	5	1feb12270a53444672f6263c142989ff1fbf9cb3	Flow	Undetectable	EIS.	21
jerel/ember-cli-clock	2	276e47b68262b0430e329f46063fa91fb633c5aa	Flow	Undetectable	API Change.	19
jfredrickson/minesweeper	1	2649c98e2f3c475906ec8a8eeeb6061076e830d5	Flow	Undetectable	EIS:  Did not correctly track game won/lost.	39
jshttp/cookie	21	faf389539824d5c973e4d9604ce89089941d820b	Flow	Undetectable	Regex/parsing.	31
jsoverson/JavaScript-Particle-System	1	4768bff8838c086ecaa1513520f4b9a8c5bf9d3a	Flow	Undetectable	Other:  performance issue, due to a change in chrome's API.  Could argue that this is a does not meet spec/malfunction error.	13
mnutt/hummingbird	4	10f3a0c1c7da28c3c695ec4dd74c807aee2a8bb3	Flow	Detectable	Flow would have detected this bug.  It also detects that configJSON could be unitialized.  	49
mnutt/hummingbird	4	10f3a0c1c7da28c3c695ec4dd74c807aee2a8bb3	TypeScript	Unknown	It seems like it must be detectable, but I could not get tsc to error on it.  The problem is that a file object was being treated as a string.  This seems like a classic example of a problem that a type system of the granularity and power of TypeScript should be able to detect!  This is a candidate for a deep dive.  No matter how I changed the signature of fs.readFileSync in node.d.ts, tsc never errored.	600
moelders/simple-async	10	502b2b65e00845d46fe1fb2ee5346f8772aea919	Flow	Undetectable	EIS:  here failure to ensure a directory existed.	26
moshen/node-googlemaps	60	41ea92c3310acf17fa6855a9aeb631a4e8ebaf0b	Flow	Undetectable	Missing branches:  Incorrect error handling in the case that a callback was passed to the makeRequest method.	94
nationalparkservice/places-api	9	d8afcd3d18143f1da000912e945305f0747409bd	TypeScript	Unknown	Clearly, the error is a TypeError, so it seems possible in principle to catch it with TS/Flow, but it is unclear to me where to place the needed annotations and how much restructuring of the code might be entailed.	44
nazomikan/require-without-cache	1	25d0e58d4d8f53add91f6334f1ad17117d8aadd5	Flow	Undetectable	EIS	17
ng2/auth	8	2783b21e9b7abf15ee7bf7562be64c96bfcc56b2	Flow	Detectable	Flow, with a type annotation hack, detects this bug, in accordance with intuition.  It's a hack because I couldn't find the definition of the object bound to $location and therefore the definition of search.  Nonetheless, it approximates the annotation cost of the correctly placed annotation.	241
ng2/auth	8	2783b21e9b7abf15ee7bf7562be64c96bfcc56b2	TypeScript	Detectable	Backporting the annotation hack from my solution for Flow works for TypeScript as well.  Thus, I am changing my classification.	639
opsmezzo/quill-template	13	3342f999fcf48fece0b45bddd0e63d0cfe18446e	Flow	Undetectable	EIS.  The missing parameters are optional, presumably for a reason.  The buggy call was therefore incorrect because the developer who wrote it was being sloppy or just mischoose the call and therefore failed to implement the intended bahavior.  Interestingly, Flow detects an error on the JSON.parse call which was not fixed and presumably not erroneous.	73
p-j/meteor-gravatar	3	d5b70d91f92751e3b16b441c9631906196b2d465	TypeScript	Undetectable	API Misuse:  Correctly import/initialize module.	34
perliedman/lrm-mapbox	1	c7e99f023411fe379a152427d00d3b24b805ba73	Flow	Undetectable	String error.	40
pretenderjs/pretender	94	7df020470e4d0b31855b96e14eea49ab37b97f79	Flow	Undetectable	EIS:  Failure to install correctly.	59
royriojas/persistify	2	5ff8fdf6dded64e8ee1fa2909448d1c6c35b1bda	Flow	Undetectable	EIS:  Emit correct error code.	39
smo-key/trello2latex	21	cdcf777465874a7c68db5baf8e86d4fb2380c4a8	Flow	Detectable	I finally figured out how to correctly define the type annotations to get Flow to work.	602
smo-key/trello2latex	21	cdcf777465874a7c68db5baf8e86d4fb2380c4a8	TypeScript	Undetectable	Other:  limitation of TS, lack on notnull annotation.  TypeScript, out of the box, errors on card.name.  It complains that it doesn't exist on {}, not that it could be null, which is what the fix checks.  Here, the fact that TypeScript does not allow a developer to specify that a type is non-nullable prevents it from detecting the actual bug.	126
tildeio/rsvp.js	51	161edc3f44015564689dc88c76a8efa0638b6284	TypeScript	Undetectable	EIS.	84
ui-alchemy/alchemy	4	b3b6ae1fc840e913b60c3b857575e04d10fcb8a9	Flow	Undetectable	EIS:  trigger only on keypress, not both keydown and keypress.	24
villadora/express-bunyan-logger	13	8d3f6029add113da5003a268e87a1cab05fe03b8	Flow	Undetectable	EIS:  Change parsing/encoding.  Include in our taxonomy, subsuming regex?	72
villadora/express-bunyan-logger	13	8d3f6029add113da5003a268e87a1cab05fe03b8	Flow	Undetectable	EIS:  Change parsing/encoding.  Include in our taxonomy, subsuming regex?	72
